time (s),w,x-axis,y-axis,z-axis,class
1661434226235.6611,0.841,-0.014,0.419,-0.342,0
1661434226236.331,0.852,-0.017,0.399,-0.34,0
1661434226243.301,0.864,-0.021,0.374,-0.337,0
1661434226265.773,0.876,-0.025,0.346,-0.334,0
1661434226266.672,0.889,-0.031,0.315,-0.33,0
1661434226273.174,0.902,-0.037,0.281,-0.326,0
1661434226287.945,0.914,-0.044,0.245,-0.321,0
1661434226295.724,0.924,-0.052,0.206,-0.316,0
1661434226318.808,0.934,-0.061,0.166,-0.31,0
1661434226319.528,0.942,-0.07,0.123,-0.304,0
1661434226325.5178,0.948,-0.08,0.079,-0.298,0
1661434226333.464,0.952,-0.089,0.033,-0.292,0
1661434226348.4248,0.953,-0.1,-0.012,-0.285,0
1661434226371.188,0.952,-0.11,-0.058,-0.278,0
1661434226372.365,0.949,-0.121,-0.105,-0.271,0
1661434226378.396,0.944,-0.13,-0.152,-0.263,0
1661434226394.313,0.936,-0.138,-0.199,-0.255,0
1661434226400.286,0.927,-0.146,-0.244,-0.246,0
1661434226424.223,0.915,-0.152,-0.287,-0.237,0
1661434226425.296,0.903,-0.158,-0.327,-0.228,0
1661434226426.2148,0.891,-0.162,-0.362,-0.22,0
1661434226438.5369,0.879,-0.166,-0.394,-0.213,0
1661434226446.165,0.866,-0.17,-0.423,-0.206,0
1661434226476.1108,0.853,-0.173,-0.45,-0.199,0
1661434226477.081,0.84,-0.175,-0.476,-0.193,0
1661434226491.072,0.826,-0.177,-0.501,-0.186,0
1661434226498.032,0.812,-0.178,-0.526,-0.179,0
1661434226499.022,0.797,-0.179,-0.55,-0.173,0
1661434226506.259,0.781,-0.18,-0.575,-0.165,0
1661434226520.984,0.764,-0.182,-0.599,-0.158,0
1661434226527.944,0.745,-0.183,-0.623,-0.149,0
1661434226544.579,0.725,-0.184,-0.649,-0.14,0
1661434226551.009,0.702,-0.186,-0.675,-0.131,0
1661434226558.541,0.677,-0.187,-0.702,-0.121,0
1661434226565.831,0.65,-0.188,-0.728,-0.11,0
1661434226581.0298,0.622,-0.188,-0.753,-0.1,0
1661434226588.377,0.594,-0.188,-0.777,-0.09,0
1661434226595.576,0.565,-0.187,-0.799,-0.079,0
1661434226610.318,0.539,-0.186,-0.819,-0.07,0
1661434226618.298,0.515,-0.185,-0.835,-0.062,0
1661434226641.237,0.496,-0.183,-0.847,-0.055,0
1661434226642.236,0.48,-0.181,-0.857,-0.051,0
1661434226648.23,0.467,-0.179,-0.865,-0.047,0
1661434226655.692,0.455,-0.177,-0.872,-0.044,0
1661434226671.154,0.445,-0.175,-0.878,-0.041,0
1661434226678.233,0.435,-0.174,-0.883,-0.038,0
1661434226686.156,0.427,-0.172,-0.887,-0.036,0
1661434226701.114,0.42,-0.171,-0.891,-0.034,0
1661434226708.058,0.416,-0.17,-0.893,-0.033,0
1661434226715.475,0.415,-0.169,-0.893,-0.032,0
1661434226738.3298,0.418,-0.169,-0.892,-0.032,0
1661434226745.956,0.425,-0.168,-0.889,-0.034,0
1661434226760.915,0.436,-0.168,-0.884,-0.037,0
1661434226761.913,0.452,-0.168,-0.875,-0.041,0
1661434226768.486,0.474,-0.167,-0.863,-0.047,0
1661434226790.835,0.5,-0.168,-0.848,-0.056,0
1661434226791.835,0.531,-0.168,-0.828,-0.066,0
1661434226805.796,0.565,-0.17,-0.804,-0.077,0
1661434226806.7988,0.6,-0.171,-0.776,-0.089,0
1661434226820.895,0.636,-0.172,-0.745,-0.101,0
1661434226828.222,0.673,-0.171,-0.71,-0.113,0
1661434226850.8352,0.71,-0.17,-0.672,-0.127,0
1661434226857.658,0.745,-0.167,-0.63,-0.141,0
1661434226865.677,0.78,-0.164,-0.584,-0.156,0
1661434226873.468,0.811,-0.16,-0.537,-0.171,0
1661434226880.866,0.838,-0.155,-0.49,-0.185,0
1661434226912.796,0.861,-0.15,-0.443,-0.198,0
1661434226913.522,0.881,-0.145,-0.398,-0.21,0
1661434226914.5042,0.897,-0.14,-0.356,-0.221,0
1661434226918.531,0.91,-0.134,-0.316,-0.232,0
1661434226933.9048,0.921,-0.128,-0.279,-0.241,0
1661434226941.016,0.929,-0.122,-0.244,-0.25,0
1661434226948.447,0.937,-0.113,-0.207,-0.258,0
1661434226964.516,0.943,-0.105,-0.169,-0.266,0
1661434226978.501,0.948,-0.096,-0.13,-0.274,0
1661434226985.6711,0.951,-0.088,-0.09,-0.282,0
1661434227000.275,0.952,-0.081,-0.051,-0.29,0
1661434227008.2542,0.952,-0.075,-0.014,-0.297,0
1661434227009.2512,0.95,-0.069,0.019,-0.303,0
1661434227023.4722,0.948,-0.064,0.049,-0.308,0
1661434227030.195,0.945,-0.059,0.076,-0.312,0
1661434227038.199,0.942,-0.055,0.103,-0.315,0
1661434227053.134,0.938,-0.051,0.127,-0.318,0
1661434227060.323,0.934,-0.047,0.152,-0.321,0
1661434227068.5078,0.929,-0.043,0.176,-0.323,0
1661434227091.061,0.924,-0.04,0.199,-0.325,0
1661434227092.041,0.918,-0.038,0.221,-0.327,0
1661434227104.9932,0.912,-0.036,0.242,-0.329,0
1661434227128.9312,0.906,-0.034,0.261,-0.331,0
1661434227140.598,0.9,-0.032,0.279,-0.333,0
1661434227142.567,0.894,-0.03,0.296,-0.336,0
1661434227143.58,0.888,-0.029,0.311,-0.337,0
1661434227150.574,0.883,-0.027,0.324,-0.339,0
1661434227158.5269,0.879,-0.026,0.334,-0.34,0
1661434227172.529,0.875,-0.025,0.343,-0.341,0
1661434227188.803,0.872,-0.024,0.35,-0.342,0
1661434227189.469,0.87,-0.024,0.355,-0.342,0
1661434227203.886,0.868,-0.023,0.358,-0.343,0
1661434227210.4448,0.868,-0.023,0.36,-0.343,0
1661434227218.845,0.868,-0.023,0.36,-0.342,0
1661434227233.654,0.869,-0.023,0.357,-0.341,0
1661434227240.798,0.872,-0.023,0.353,-0.34,0
1661434227270.5989,0.875,-0.023,0.345,-0.338,0
1661434227272.2212,0.88,-0.024,0.335,-0.336,0
1661434227272.2212,0.886,-0.026,0.319,-0.334,0
1661434227285.5571,0.894,-0.029,0.299,-0.331,0
1661434227294.163,0.904,-0.033,0.273,-0.328,0
1661434227308.1282,0.913,-0.038,0.243,-0.324,0
1661434227315.872,0.923,-0.043,0.209,-0.32,0
1661434227324.021,0.932,-0.049,0.173,-0.314,0
1661434227338.79,0.94,-0.055,0.134,-0.309,0
1661434227346.062,0.946,-0.062,0.095,-0.302,0
1661434227353.409,0.951,-0.069,0.057,-0.296,0
1661434227368.8308,0.954,-0.076,0.018,-0.29,0
1661434227383.022,0.955,-0.084,-0.02,-0.283,0
1661434227397.961,0.955,-0.093,-0.057,-0.277,0
1661434227398.921,0.953,-0.101,-0.095,-0.271,0
1661434227405.94,0.949,-0.109,-0.133,-0.264,0
1661434227420.949,0.944,-0.116,-0.17,-0.257,0
1661434227427.88,0.938,-0.123,-0.208,-0.25,0
1661434227435.874,0.93,-0.129,-0.244,-0.243,0
1661434227446.377,0.921,-0.135,-0.28,-0.235,0
1661434227451.0032,0.911,-0.14,-0.313,-0.228,0
1661434227465.358,0.901,-0.145,-0.345,-0.221,0
1661434227473.6582,0.889,-0.149,-0.376,-0.213,0
1661434227480.884,0.877,-0.153,-0.406,-0.206,0
1661434227510.845,0.864,-0.157,-0.435,-0.2,0
1661434227511.836,0.85,-0.159,-0.463,-0.193,0
1661434227512.825,0.836,-0.162,-0.491,-0.186,0
1661434227533.511,0.821,-0.164,-0.517,-0.178,0
1661434227541.627,0.805,-0.165,-0.544,-0.171,0
1661434227550.426,0.788,-0.167,-0.569,-0.164,0
1661434227556.148,0.771,-0.168,-0.594,-0.156,0
1661434227585.675,0.753,-0.169,-0.619,-0.149,0
1661434227586.3308,0.733,-0.17,-0.643,-0.141,0
1661434227600.907,0.712,-0.17,-0.668,-0.132,0
1661434227602.288,0.689,-0.171,-0.694,-0.123,0
